ligand,case,run_tag,top_frac,top_n,top_success_any,top_success_rate,top_valid_n,top_success_any_valid,top_success_rate_valid
3nq9,3nq9_Kdist4.0_Kmono8.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.0_Kmono9.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.5_Kmono0.1,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.5_Kmono1.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.5_Kmono10.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.5_Kmono11.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.5_Kmono12.0,penalty_qpu_20260116_174810,0.1,100,1,0.11,100,1,0.11
3nq9,3nq9_Kdist4.5_Kmono13.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.5_Kmono14.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.5_Kmono15.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.5_Kmono16.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.5_Kmono17.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.5_Kmono18.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.5_Kmono19.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
