ligand,method,step,n_runs,mean_best_so_far,ci95,ci_lo,ci_hi
4jsz,bo,4,5,0.03140,0.03798,-0.00658,0.06938
4jsz,bo,5,5,0.06080,0.05866,0.00214,0.11946
4jsz,bo,6,5,0.06080,0.05866,0.00214,0.11946
4jsz,bo,7,5,0.06080,0.05866,0.00214,0.11946
4jsz,bo,8,5,0.10920,0.10142,0.00778,0.21062
4jsz,bo,9,5,0.10920,0.10142,0.00778,0.21062
4jsz,bo,10,5,0.10920,0.10142,0.00778,0.21062
4jsz,bo,11,5,0.16280,0.16136,0.00144,0.32416
4jsz,bo,12,5,0.17400,0.15376,0.02024,0.32776
4jsz,bo,13,5,0.28840,0.29623,-0.00783,0.58463
4jsz,bo,14,5,0.28840,0.29623,-0.00783,0.58463
4jsz,bo,15,5,0.46420,0.35919,0.10501,0.82339
4jsz,bo,16,5,0.47880,0.34228,0.13652,0.82108
4jsz,bo,17,5,0.47880,0.34228,0.13652,0.82108
4jsz,bo,18,5,0.52020,0.34540,0.17480,0.86560
4jsz,bo,19,5,0.52020,0.34540,0.17480,0.86560
4jsz,bo,20,5,0.52020,0.34540,0.17480,0.86560
4jsz,bo,21,5,0.52020,0.34540,0.17480,0.86560
4jsz,bo,22,5,0.52020,0.34540,0.17480,0.86560
4jsz,bo,23,5,0.52020,0.34540,0.17480,0.86560
4jsz,bo,24,5,0.52020,0.34540,0.17480,0.86560
4jsz,bo,25,5,0.62960,0.27171,0.35789,0.90131
4jsz,bo,26,5,0.62960,0.27171,0.35789,0.90131
4jsz,bo,27,5,0.66440,0.28043,0.38397,0.94483
4jsz,bo,28,5,0.66440,0.28043,0.38397,0.94483
4jsz,bo,29,5,0.66440,0.28043,0.38397,0.94483
4jsz,bo,30,5,0.66440,0.28043,0.38397,0.94483
4jsz,bo,31,5,0.66440,0.28043,0.38397,0.94483
4jsz,bo,32,5,0.66440,0.28043,0.38397,0.94483
4jsz,bo,33,5,0.66440,0.28043,0.38397,0.94483
