ligand,Kdist,Kmono,runs,mRMSD_mean,avg_RMSD_mean,valid_rate_mean,success_rate_mean,cpu_sec_mean,sample_elapsed_sec_mean,tts_99_sec_mean,ttt_99_sec_mean
4jsz,1.0,6.0,10,0.9919187261976694,2.759186699999998,1.0,0.09799999999999999,2.4229000000000003,2.4292000000000007,108.18096512492862,108.18096512492862
4jsz,8.5,1.0,10,0.9919187261976694,2.9141872000000015,1.0,0.08099999999999999,2.2948999999999997,2.3146999999999998,125.11555083426472,125.11555083426472
4jsz,1.5,10.0,10,0.9919187261976694,2.8516166000000034,1.0,0.08099999999999999,2.4355,2.4436999999999998,132.78091596882294,132.78091596882294
3nq9,1.5,16.0,10,0.7624192388077091,4.6356922,1.0,0.048999999999999995,2.2208,2.2421999999999995,203.5611928687724,203.5611928687724
3nq9,0.1,18.0,10,0.9296324361760357,4.760956500000003,0.052000000000000005,0.0010000000000000002,1.8724,1.8788,8618.40857699641,8618.40857699641
4jsz,7.0,3.0,10,0.7125017852609876,2.948527600000005,1.0,0.06800000000000002,2.5079,2.5157,164.00031474056215,164.00031474056215
4jsz,3.5,11.0,10,0.43266667696150984,3.0081361999999996,1.0,0.06299999999999999,2.5631999999999997,2.5695,181.3986478271823,181.3986478271823
4jsz,8.0,0.1,10,0.9919187261976694,2.983215899999999,0.5280000000000001,0.031000000000000007,1.9596,1.9809,286.57035020179427,286.57035020179427
3nq9,3.5,17.0,10,0.7479297007123636,4.6573226000000005,1.0,0.05800000000000001,2.3381,2.3518999999999997,180.20665469303688,180.20665469303688
3nq9,3.0,6.0,10,0.8072164576996084,4.687788500000003,1.0,0.04499999999999999,2.3954999999999997,2.4048000000000003,239.5903899532271,239.5903899532271
3nq9,6.0,18.0,10,0.6027957065778292,4.7033689,1.0,0.04399999999999999,2.4071999999999996,2.4147999999999996,246.36032448598172,246.36032448598172
4jsz,8.5,14.0,10,0.9961412327372872,3.4123883999999984,1.0,0.03500000000000001,2.7058,2.7354,349.7517994283774,349.7517994283774
3nq9,8.5,12.0,10,0.6171821872831159,4.764247800000001,1.0,0.03200000000000001,2.4677999999999995,2.4775,349.4318481368035,349.4318481368035
3nq9,1.0,5.0,10,0.7624192388077091,4.667583699999995,1.0,0.051000000000000004,2.2586000000000004,2.2669,198.69984205460972,198.69984205460972
3nq9,8.5,2.0,10,0.7479297007123636,4.716920100000002,1.0,0.03899999999999999,2.5302000000000002,2.5415,292.9046448988604,292.9046448988604
4jsz,1.5,9.0,10,0.9919187261976694,2.8407136000000013,1.0,0.08299999999999999,2.4387,2.4459,129.61238093568187,129.61238093568187
3nq9,4.0,19.0,10,0.7624192388077091,4.577516899999999,1.0,0.05600000000000001,2.3448,2.3513,187.3740982741653,187.3740982741653
3nq9,2.5,20.0,10,0.7624192388077091,4.693816799999994,1.0,0.04699999999999999,2.2766,2.2846,217.78248245889216,217.78248245889216
3nq9,5.0,3.0,10,0.8152168562859072,4.694774200000004,1.0,0.04299999999999999,2.4739999999999998,2.481,259.2196076350481,259.2196076350481
4jsz,4.0,15.0,10,1.164766408090365,3.0352141000000015,1.0,0.054000000000000006,2.5484,2.557,211.40772476638003,211.40772476638003
