Pose_ID,RMSD(A),Shape_Diff(A),Feasible,Success(<=2.0A)
743,1.8842,0.0,True,True
744,1.8842,0.0,True,True
745,1.8842,0.0,True,True
746,1.8842,0.0,True,True
747,1.8842,0.0,True,True
748,1.8842,0.0,True,True
749,1.8842,0.0,True,True
750,1.8842,0.0,True,True
751,1.8842,0.0,True,True
752,1.8842,0.0,True,True
753,1.8842,0.0,True,True
754,1.8842,0.0,True,True
755,1.8842,0.0,True,True
756,1.8842,0.0,True,True
757,1.8842,0.0,True,True
758,1.8842,0.0,True,True
759,1.8842,0.0,True,True
760,1.8842,0.0,True,True
761,1.8842,0.0,True,True
762,1.8842,0.0,True,True
763,1.8842,0.0,True,True
764,1.8842,0.0,True,True
765,1.8842,0.0,True,True
766,1.8842,0.0,True,True
767,1.8842,0.0,True,True
768,1.8842,0.0,True,True
769,1.8842,0.0,True,True
770,1.8842,0.0,True,True
771,1.8842,0.0,True,True
772,1.8842,0.0,True,True
773,1.8842,0.0,True,True
774,1.8842,0.0,True,True
775,1.8842,0.0,True,True
776,1.8842,0.0,True,True
777,1.8842,0.0,True,True
778,1.8842,0.0,True,True
779,1.8842,0.0,True,True
780,1.8842,0.0,True,True
781,1.8842,0.0,True,True
782,1.8842,0.0,True,True
783,1.8842,0.0,True,True
784,1.8842,0.0,True,True
785,1.8842,0.0,True,True
786,1.8842,0.0,True,True
787,1.8842,0.0,True,True
788,1.8842,0.0,True,True
789,1.8842,0.0,True,True
790,1.8842,0.0,True,True
791,1.8842,0.0,True,True
792,1.8842,0.0,True,True
793,1.8842,0.0,True,True
794,1.8842,0.0,True,True
795,1.8842,0.0,True,True
796,1.8842,0.0,True,True
797,1.8842,0.0,True,True
798,1.8842,0.0,True,True
799,1.8842,0.0,True,True
800,1.8842,0.0,True,True
801,1.8842,0.0,True,True
802,1.8842,0.0,True,True
803,1.8842,0.0,True,True
804,1.8842,0.0,True,True
805,1.8842,0.0,True,True
806,1.8842,0.0,True,True
807,1.8842,0.0,True,True
808,1.8842,0.0,True,True
809,1.8842,0.0,True,True
810,1.8842,0.0,True,True
811,1.8842,0.0,True,True
812,1.8842,0.0,True,True
813,1.8842,0.0,True,True
814,1.8842,0.0,True,True
815,1.8842,0.0,True,True
816,1.8842,0.0,True,True
817,1.8842,0.0,True,True
818,1.8842,0.0,True,True
819,1.8842,0.0,True,True
820,1.8842,0.0,True,True
821,1.8842,0.0,True,True
822,1.8842,0.0,True,True
823,1.8842,0.0,True,True
824,1.8842,0.0,True,True
825,1.8842,0.0,True,True
826,1.8842,0.0,True,True
827,1.8842,0.0,True,True
828,1.8842,0.0,True,True
